,CBO,DIT,LCOM,NOC,RFC,WMC,A,Ca,Ce,D,I,AHF,AIF,CF,MHF,MIF,PF
2.7.3,14.9057971,1.934306569,3.666666667,0.416058394,47.13043478,39.14492754,0.160666667,27.8,27.86666667,0.373,0.491,38.11%,54.34%,2.45%,29.90%,34.81%,76.64%
2.7.2,14.95683453,1.927536232,3.654676259,0.413043478,46.99280576,39.00719424,0.160666667,27.8,27.86666667,0.373,0.491,38.10%,54.35%,2.45%,29.93%,34.82%,76.64%
2.7.1,14.70072993,1.948529412,3.693430657,0.419117647,46.60583942,38.39416058,0.148666667,27.2,29.06666667,0.369333333,0.506333333,38.12%,54.35%,2.45%,29.90%,34.84%,76.52%
2.7.0,14.7826087,1.934306569,3.673913043,0.416058394,47.12318841,39.13768116,0.160666667,27.56666667,27.93333333,0.371333333,0.493,41.64%,56.36%,2.46%,29.96%,34.85%,76.28%
2.6.3,14.66176471,1.918518519,3.713235294,0.422222222,47.16911765,39.44117647,0.165862069,27.5862069,27.79310345,0.372758621,0.487586207,41.46%,56.17%,2.45%,29.87%,35.59%,72.72%
2.6.2,14.63432836,1.932330827,3.753731343,0.428571429,46.87313433,38.95522388,0.158928571,27.78571429,28.32142857,0.376428571,0.491428571,41.46%,56.17%,2.45%,29.87%,35.59%,72.72%
2.6.1,15.5,2.048543689,3.875,0.466019417,46.19230769,37.125,0.1384,28,27.2,0.4088,0.4796,41.55%,56.17%,2.45%,29.92%,35.58%,72.79%
2.6.0,14.63235294,1.918518519,3.727941176,0.422222222,46.98529412,39.35294118,0.165862069,27.55172414,27.65517241,0.372758621,0.486896552,41.58%,56.18%,2.45%,29.82%,35.62%,72.79%
2.5.5,14.46099291,1.978571429,3.716312057,0.378571429,47.26241135,39.04255319,0.144375,24.9375,26.78125,0.364375,0.514375,41.70%,55.23%,2.46%,29.61%,34.01%,72.79%
2.5.4,14.57042254,1.964539007,3.704225352,0.375886525,47.67605634,39.73943662,0.155625,25.3125,25.8125,0.3671875,0.500625,41.60%,55.23%,2.46%,29.67%,34.06%,76.84%
2.5.3,15.2519685,2.055555556,3.826771654,0.404761905,47.22834646,37.56692913,0.128,25.53333333,27.36666667,0.383666667,0.510666667,41.66%,55.21%,2.46%,29.67%,34.06%,76.84%
2.5.2,16.23076923,2.220779221,3.307692308,0.272727273,50.93589744,37.61538462,0.134347826,28.91304348,27.43478261,0.408695652,0.486956522,41.76%,55.19%,2.46%,29.74%,33.94%,76.78%
2.5.1,15.66371681,2.089285714,3.769911504,0.392857143,47.86725664,38.19469027,0.132068966,26.03448276,26.65517241,0.390344828,0.501724138,41.74%,55.73%,2.46%,29.75%,33.98%,76.41%
2.5.0,14.90839695,2.046153846,3.755725191,0.407692308,46.61068702,37.52671756,0.139333333,25.4,26.63333333,0.374333333,0.51,41.93%,55.66%,2.47%,30.10%,33.98%,76.53%
2.4.1,15.12598425,2.141732283,3.787401575,0.417322835,49.34645669,40.22834646,0.141,25.56666667,26.6,0.377,0.508333333,43.09%,56.04%,2.48%,29.46%,33.31%,78.03%
2.4.0,14.48571429,2.007142857,3.678571429,0.378571429,49.57857143,42.22857143,0.1678125,24.90625,25.40625,0.35375,0.5053125,43.09%,56.04%,2.48%,29.46%,33.31%,78.03%
2.3.1,14.5,2.007142857,3.685714286,0.378571429,49.62142857,42.23571429,0.168125,24.84375,25.40625,0.353125,0.505625,43.02%,55.82%,2.51%,29.40%,33.39%,77.77%
2.2.5,14.46428571,2,3.664285714,0.378571429,49.45714286,42.22142857,0.1684375,24.75,25.3125,0.3534375,0.5053125,42.97%,55.81%,2.51%,29.61%,33.10%,79.77%
2.2.2,14.32167832,1.979020979,3.608391608,0.377622378,48.65734266,41.71328671,0.168125,24.75,25.3125,0.3534375,0.5059375,42.93%,55.80%,2.50%,29.67%,33.00%,79.72%
2.2.1,14.30769231,1.979020979,3.594405594,0.377622378,48.3986014,41.62937063,0.1684375,24.6875,25.34375,0.353125,0.505625,43.01%,55.76%,2.49%,29.73%,33.02%,79.92%
2.2.0,14.18666667,1.973333333,3.546666667,0.386666667,47.84,40.46666667,0.163333333,24.21212121,25.84848485,0.347878788,0.514848485,43.02%,55.75%,2.50%,29.73%,33.02%,79.92%
2.1.0,14.1875,1.930555556,3.590277778,0.395833333,48.65277778,41.56944444,0.150322581,25.09677419,26.25806452,0.358064516,0.506451613,43.23%,55.60%,2.56%,30.12%,33.09%,79.59%
